session_id,cli_version,turn_id,model,effort,started_at,completed_at,duration_ms,time_to_first_token_ms,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,model_context_window,n_api_calls,n_tool_calls,wall_clock_s,cache_hit_rate,context_fill,output_tokens_per_s,mean_api_gap_s
019f151d-73fe-7a03-ab5a-d9f2cb679485,0.142.2,019f151d-7530-7e13-937d-b1511ce03df7,gpt-5.5,high,1782765679,1782765711,31297,2586,178410,150656,2003,631,180413,258400,7,12,32,0.8444369710218037,0.11491486068111455,63.99974438444579,0.0015714168548583984
019f151d-f2fc-7e42-b632-44960072caf8,0.142.2,019f151d-f374-7bd1-b087-b15a417fa949,gpt-5.5,high,1782765712,1782765771,59810,1454,214580,190464,4086,2341,218666,258400,8,15,59,0.8876130114642558,0.12459752321981424,68.31633506102658,0.0012499988079071045
019f151e-dfd4-7c32-a5d7-ef686dfd7f0e,0.142.2,019f151e-e055-7b12-a60d-3d30b98175c1,gpt-5.5,high,1782765772,1782765812,39439,2249,121797,105728,2468,925,124265,258400,6,11,40,0.8680673579809026,0.09731037151702786,62.57765156317351,0.0013333559036254883
019f151f-7c95-7eb1-ab4f-3a51bdb04f35,0.142.2,019f151f-7d09-7140-9413-1c55c6888cb7,gpt-5.5,high,1782765813,1782765845,32336,1467,222047,192640,2295,357,224342,258400,7,16,32,0.8675640742725639,0.14926083591331268,70.9735279564572,0.0009999956403459822
019f151f-ff54-73a0-95b1-f8d8259f3ddf,0.142.2,019f151f-ffbf-7e02-b463-0d93d3055b0b,gpt-5.5,high,1782765846,1782765883,37089,1881,130408,119296,2097,490,132505,258400,8,10,37,0.9147905036500829,0.07320046439628483,56.53967483620481,0.0015000402927398682
019f1520-946a-71a3-9d77-ad8955fea409,0.142.2,019f1520-94ed-76c0-9be4-4bda22d12680,gpt-5.5,high,1782765884,1782765985,100702,1525,280853,258560,6465,3857,287318,258400,12,19,101,0.9206239563045436,0.11623839009287926,64.19932076820719,0.0005833109219868978
019f1522-220d-7780-b0c0-0cc0f7f4456c,0.142.2,019f1522-22b1-74b0-a52d-b4e5a58d6d7b,gpt-5.5,high,1782765986,1782766048,62146,1332,194001,177920,3603,1167,197604,258400,10,21,62,0.9171086746975531,0.09100232198142415,57.97637820615969,0.00020000934600830078
019f1523-179e-7cb3-baa3-4cbf10b3bc4e,0.142.2,019f1523-180d-7952-b754-821110ff274b,gpt-5.5,high,1782766049,1782766104,55179,1098,146751,132096,3296,1645,150047,258400,8,15,55,0.9001369666986937,0.08645510835913313,59.73286938871672,0.0009999871253967285
019f1523-f1d8-7543-9ec7-ae75670419dd,0.142.2,019f1523-f26b-7cf3-9e4e-77af46e1cdc3,gpt-5.5,high,1782766105,1782766147,42234,1284,229797,188800,2770,825,232567,258400,9,15,42,0.8215947118543758,0.12010061919504644,65.58696784581143,0.0009999805026584202
019f1524-9a11-7252-9a18-a50026746474,0.142.2,019f1524-9a8e-7641-918a-a50bceab998f,gpt-5.5,high,1782766148,1782766311,164110,1314,619628,575488,10121,4373,629749,258400,16,34,163,0.9287637098388065,0.20154411764705882,61.67204923526902,0.0010624974966049194
