session_id,cli_version,turn_id,model,effort,started_at,completed_at,duration_ms,time_to_first_token_ms,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,model_context_window,n_api_calls,n_tool_calls,wall_clock_s,cache_hit_rate,context_fill,output_tokens_per_s,mean_api_gap_s
019f18f4-9622-7cd0-b87c-d2dd0628a180,0.142.2,019f18f4-96cb-7a90-afca-afa2c4d1a9d1,gpt-5.5,low,1782830110,1782830131,21984,2698,120429,85760,1224,41,121653,258400,6,9,21,0.7121208346826761,0.09087461300309597,55.6768558951965,0.0034999847412109375
019f18f4-f27b-76a1-a57e-d675fda99c62,0.142.2,019f18f4-f335-7181-860a-c83c5490b1da,gpt-5.5,low,1782830134,1782830176,44727,1564,144920,112256,2492,774,147412,258400,7,14,42,0.7746066795473364,0.09787925696594427,55.715786884879385,0.00042857442583356587
019f18f5-9f99-7a11-9a09-5150a91300a6,0.142.2,019f18f5-a075-70f0-b747-dcf414fe6939,gpt-5.5,low,1782830178,1782830211,33685,2026,143942,83584,1802,263,145744,258400,7,13,33,0.5806783287713106,0.09570433436532508,53.49562119637821,0.0029999869210379465
019f18f6-2658-7de3-b7dd-f9c8d23ea6c7,0.142.2,019f18f6-2776-7c53-9dc9-9a45816e0cf5,gpt-5.5,low,1782830212,1782830240,28094,1982,170571,140032,1555,91,172126,258400,6,10,28,0.8209601866671357,0.1293343653250774,55.34989677511212,0.0018333594004313152
019f18f6-9ac6-7030-b246-fda29f93dbe7,0.142.2,019f18f6-9b6e-7c20-aa53-423601176093,gpt-5.5,low,1782830242,1782830265,24239,2046,71227,53120,876,83,72103,258400,5,7,23,0.7457846041529196,0.06047600619195046,36.140104789801555,0.00019998550415039061
019f18f6-ff95-7092-9442-86325a376785,0.142.2,019f18f7-0073-7620-9be4-ba62bc533f59,gpt-5.5,low,1782830268,1782830324,58071,2324,249940,183808,2701,737,252641,258400,8,11,56,0.7354084980395295,0.1427670278637771,46.51202837905323,0.0006249845027923584
019f18f7-e21c-7151-8172-c27357211c9d,0.142.2,019f18f7-e35b-7b31-b477-24b3d48ae34b,gpt-5.5,low,1782830326,1782830337,10949,1588,47359,39040,458,62,47817,258400,3,3,11,0.8243417301885597,0.06761222910216719,41.830304137364145,0.0033333301544189453
019f18f8-16e2-7681-a9ad-8e489f53f831,0.142.2,019f18f8-1802-70f0-b866-accf470538ae,gpt-5.5,low,1782830340,1782830370,31137,1751,97010,87296,1654,451,98664,258400,6,9,30,0.8998659931965777,0.07077399380804954,53.12008221729775,0.003333409627278646
019f18f8-9623-7cc2-a2e1-c5b035a3d02c,0.142.2,019f18f8-9700-7393-aeca-e88e960d4722,gpt-5.5,low,1782830372,1782830390,18850,2128,75021,67456,1013,45,76034,258400,5,7,18,0.899161568094267,0.06473297213622291,53.740053050397876,0.00020003318786621094
019f18f8-e216-7eb0-a187-9758ca85f3ce,0.142.2,019f18f8-e2b0-73b2-b6c0-8dfb948972d6,gpt-5.5,low,1782830391,1782830488,99516,1622,367081,317312,5766,2112,372847,258400,13,26,97,0.8644195695228029,0.14081656346749227,57.94043168937658,0.0005384591909555289
