session_id,cli_version,turn_id,model,effort,started_at,completed_at,duration_ms,time_to_first_token_ms,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,model_context_window,n_api_calls,n_tool_calls,wall_clock_s,cache_hit_rate,context_fill,output_tokens_per_s,mean_api_gap_s
019f1f31-5224-7b73-b391-a3fb79578011,0.142.2,019f1f31-52ad-70e1-bc4e-ee4d8af19ca2,gpt-5.5,high,1782934753,1782934806,52200,3987,223584,177536,3358,689,226942,258400,9,20,53,0.7940460855875197,0.12583204334365325,64.3295019157088,0.000888877444797092
019f1f32-2291-7302-a82a-9d53e34396bc,0.142.2,019f1f32-230f-7f20-aded-98bfaf2d7fd3,gpt-5.5,high,1782934807,1782934900,92925,1753,481657,413824,5881,2768,487538,258400,15,29,93,0.8591674158166496,0.1663815789473684,63.28759752488566,0.001333316167195638
019f1f33-916f-74c0-8cee-24905e2dac47,0.142.2,019f1f33-91f2-77f1-8c8e-9322020efa33,gpt-5.5,high,1782934901,1782934935,33996,1478,145625,129152,2437,768,148062,258400,7,12,34,0.886880686695279,0.09665247678018576,71.68490410636545,0.004285710198538644
019f1f34-1a23-7940-8d4a-27427b256f51,0.142.2,019f1f34-1a92-7842-944e-9032ff515971,gpt-5.5,high,1782934936,1782934967,31459,1918,124717,109824,1911,415,126628,258400,6,11,31,0.8805856459023229,0.095421826625387,60.74573254076735,0.002000013987223307
019f1f34-9a81-71b3-a7ae-5b0165867c4b,0.142.2,019f1f34-9afd-7f92-abcf-d173d4afbb8c,gpt-5.5,high,1782934969,1782935018,49445,1413,254861,228992,2907,530,257768,258400,11,20,49,0.8984976124240273,0.12806114551083592,58.79259783597937,0.0010909167203036222
019f1f35-6063-70a2-b76f-95742524b35f,0.142.2,019f1f35-60dc-73d2-923c-e4f4f8872237,gpt-5.5,high,1782935019,1782935130,110904,1337,393918,360320,6431,3360,400349,258400,13,25,111,0.9147081372265293,0.15525541795665634,57.98708793190507,0.0
019f1f37-185a-7061-bb7f-b5da437d2d27,0.142.2,019f1f37-190a-7853-ba24-2ed14d2f46e3,gpt-5.5,high,1782935132,1782935229,96766,1927,412056,387456,6070,2787,418126,258400,17,30,97,0.9402993767837381,0.11496904024767803,62.72864435855569,0.00035295766942641316
019f1f38-9643-7f83-a80a-8aee914b1d88,0.142.2,019f1f38-96b2-73d0-913e-0f59a73c147e,gpt-5.5,high,1782935230,1782935279,49205,1451,142174,128000,3324,1444,145498,258400,8,17,49,0.9003052597521347,0.08342105263157895,67.55411035463875,0.0011250078678131104
019f1f39-5a31-7541-8028-a981a3d28399,0.142.2,019f1f39-5a9c-7182-8673-dc98ef288eff,gpt-5.5,high,1782935280,1782935305,24787,1204,75563,67968,1554,583,77117,258400,5,7,25,0.8994878445800193,0.06628095975232198,62.69415419373059,0.0015999794006347657
019f1f39-bf1a-7a01-9ecd-f0b61eeda50f,0.142.2,019f1f39-bf93-7702-bf2e-2b9cfc675487,gpt-5.5,high,1782935306,1782935464,158606,1420,364585,322304,11738,5546,376323,258400,14,25,158,0.884029787292401,0.13512770897832818,74.00728850106553,0.009714279856000627
019f1f3c-2f2f-7b12-9bd5-c4f4a3d55ee7,0.142.2,019f1f3c-2fad-7b70-b876-9a2db4228e63,gpt-5.5,high,1782935465,1782935496,30149,1326,139970,129408,1768,277,141738,258400,9,14,31,0.924540973065657,0.06952786377708978,58.64207768085177,0.0011111100514729817
019f1f3c-a8ea-7333-a8c4-d6f8fcfc7a65,0.142.2,019f1f3c-a969-71f2-89e8-765abafdb9cc,gpt-5.5,high,1782935497,1782935537,40717,1293,248535,217088,2783,1025,251318,258400,8,17,40,0.8734705373488644,0.15405959752321982,68.34982930962498,0.0016250312328338623
019f1f3d-4b8d-7733-94c4-2ed4c496ba70,0.142.2,019f1f3d-4bfd-7062-a5c2-89037b6742ab,gpt-5.5,high,1782935538,1782935562,23686,1438,69972,60288,1290,212,71262,258400,5,8,24,0.861601783570571,0.0600812693498452,54.462551718314614,0.0015999794006347657
019f1f3d-abbd-7541-a023-bc014b4af642,0.142.2,019f1f3d-ac38-77c2-8c99-4ab7c1a78190,gpt-5.5,high,1782935563,1782935590,26733,1233,150825,129792,1653,589,152478,258400,6,9,27,0.8605469915464943,0.11404798761609908,61.83368869936034,0.0014999707539876301
019f1f3e-17f5-7513-a1cd-69d57c23f3f2,0.142.2,019f1f3e-186b-7450-bc7f-b84159e9f43d,gpt-5.5,high,1782935591,1782935617,26325,927,159266,144000,1598,437,160864,258400,7,11,26,0.9041477779312597,0.10079334365325078,60.70275403608737,0.0009999956403459822
019f1f3e-82a7-7ed3-a6e3-7de1768b6d21,0.142.2,019f1f3e-832b-79f1-9970-95a626a49c8a,gpt-5.5,high,1782935618,1782935718,99742,1114,386845,362112,6477,4106,393322,258400,15,22,100,0.9360648321679226,0.12784442724458203,64.9375388502336,0.0005333264668782552
019f1f40-0bb2-7692-bc72-d89d4dd63cc2,0.142.2,019f1f40-0c42-77b3-bfe3-acb0ce91d7d5,gpt-5.5,high,1782935718,1782935767,49024,1369,220618,201088,3067,997,223685,258400,9,17,49,0.9114759448458422,0.11467879256965945,62.56119451697128,0.0008889039357503256
019f1f40-cf98-7641-bd1a-fa33e8a2fe4e,0.142.2,019f1f40-d01d-71f1-a437-01c1fec9083b,gpt-5.5,high,1782935769,1782936125,356619,1159,2662587,2582400,23597,10180,2686184,258400,45,82,356,0.9698838009800244,0.3110681114551084,66.168656184892,0.00046665933397081164
019f1f46-4470-7103-ac02-4f9841262a88,0.142.2,019f1f46-4543-7892-b993-7377ad92da3e,gpt-5.5,high,1782936126,1782936175,48739,1725,326896,299264,2997,954,329893,258400,10,18,49,0.9154715872938182,0.14735294117647058,61.490797923634055,0.0
019f1f47-0710-7252-bd77-d447261471e9,0.142.2,019f1f47-079e-7ae1-9054-6dbe2a38454c,gpt-5.5,high,1782936176,1782936246,70140,1244,268098,250880,3823,1616,271921,258400,12,22,70,0.9357772157942245,0.10279024767801857,54.5052751639578,0.0009166598320007324
019f1f48-1ca0-7bc3-889b-23bf7f8ac225,0.142.2,019f1f48-1d15-7041-a778-7bf6e8e05add,gpt-5.5,high,1782936247,1782936406,159326,1103,606544,556672,8840,4292,615384,258400,23,46,159,0.9177767812392835,0.14248065015479877,55.48372519237287,0.0005652178888735564
019f1f4a-8e97-7891-a596-0ef27c5ebe0e,0.142.2,019f1f4a-8f08-77d1-b9ff-4d1c7363dea7,gpt-5.5,high,1782936407,1782936602,194579,1769,1197637,1132800,12151,6802,1209788,258400,22,46,195,0.9458625610264212,0.27550696594427243,62.44764337364258,0.0005000179464166814
019f1f4d-8a09-79d3-950e-aa7e60f1028e,0.142.2,019f1f4d-8a82-7d91-bf5e-c2794e62b706,gpt-5.5,high,1782936603,1782936673,70749,2209,391395,326144,4267,1046,395662,258400,12,34,70,0.8332860665057039,0.16505417956656346,60.311806527300746,0.0012500286102294922
019f1f4e-a1ff-7c93-bdea-15a39ed6145c,0.142.2,019f1f4e-a274-78e3-96fe-7f8eef402d6b,gpt-5.5,high,1782936674,1782936747,72973,1402,260796,239360,4881,2181,265677,258400,10,22,73,0.9178054878142303,0.12393188854489164,66.88775300453592,0.00019998550415039061
019f1f4f-c256-7452-9be1-dbc355d76478,0.142.2,019f1f4f-c2d2-70a3-94bc-09b929ef8647,gpt-5.5,high,1782936748,1782936793,44295,3289,147090,138112,2734,1193,149824,258400,9,12,45,0.9389625399415324,0.07347136222910217,61.72254204763517,0.0007777743869357639
