session_id,cli_version,turn_id,model,effort,started_at,completed_at,duration_ms,time_to_first_token_ms,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,model_context_window,n_api_calls,n_tool_calls,wall_clock_s,cache_hit_rate,context_fill,output_tokens_per_s,mean_api_gap_s
019f19e2-6da1-7420-8cdb-f1c991648c1b,0.142.2,019f19e2-6def-7a72-b132-cc6c5a48c6ba,gpt-5.5,low,1782845697,1782845700,3256,2720,12325,12160,125,66,12450,258400,1,0,3,0.9866125760649087,0.047697368421052634,38.39066339066339,0.006000041961669922
019f19e2-7ce4-7c40-acd6-7e8859e2cca1,0.142.2,019f19e2-7d3f-7a70-8d3c-9c452e65157a,gpt-5.5,low,1782845701,1782845705,4460,2121,16383,12160,102,57,16485,258400,1,0,4,0.7422328022950619,0.0634017027863777,22.869955156950674,0.013000011444091797
019f19e2-9147-7c00-b3c4-8fe0f62ab152,0.142.2,019f19e2-9197-7632-8abe-9e8ae7730991,gpt-5.5,low,1782845706,1782845711,4637,1822,16499,12160,131,67,16630,258400,1,0,5,0.7370143645069398,0.06385061919504643,28.25102436920423,0.014999866485595703
019f19e2-a6f6-7663-9dee-53acda0d4c8c,0.142.2,019f19e2-a746-7062-bc1c-363f54355856,gpt-5.5,low,1782845712,1782845716,4448,2247,16134,12160,133,70,16267,258400,1,0,4,0.7536878641378455,0.062438080495356034,29.901079136690644,0.009999990463256836
019f19e2-bb50-76d3-b405-07e9ca6402f5,0.142.2,019f19e2-bba1-7c41-adad-b15435785ac4,gpt-5.5,low,1782845717,1782845722,5139,1350,16354,12160,192,48,16546,258400,1,0,5,0.7435489788430965,0.06328947368421052,37.36135434909515,0.011999845504760742
019f19e2-d367-73c0-9c93-69a43304adef,0.142.2,019f19e2-d3b5-7a73-9af5-1ae19c3bce3e,gpt-5.5,low,1782845723,1782845728,4669,2352,16287,12160,150,74,16437,258400,1,0,5,0.7466077239516179,0.06303018575851393,32.12679374598415,0.013000011444091797
019f19e2-e82d-7fe1-9507-52fa166f8373,0.142.2,019f19e2-e884-7ca2-b450-9eeb62def650,gpt-5.5,low,1782845728,1782845737,8560,1814,28621,12160,344,246,28965,258400,1,0,9,0.42486286293281156,0.1107623839009288,40.18691588785047,0.014999866485595703
019f19e3-0c1c-7b81-9449-eeb9fd7350bc,0.142.2,019f19e3-0c79-7fe1-a825-ee854336a903,gpt-5.5,low,1782845738,1782845742,4469,2128,16396,10112,158,77,16554,258400,1,0,4,0.6167357892168822,0.06345201238390093,35.35466547326023,0.0
019f19e3-207d-7161-9ba9-d7ba010021e8,0.142.2,019f19e3-20ea-77c3-96bc-ad22726af1bf,gpt-5.5,low,1782845743,1782845746,3233,2657,12323,12160,153,98,12476,258400,1,0,3,0.9867727014525683,0.04768962848297214,47.324466439839156,0.009999990463256836
019f19e3-2fd7-7f23-956a-ce2c5d1e75c4,0.142.2,019f19e3-302d-77c3-a6a1-c520a099d21a,gpt-5.5,low,1782845747,1782845751,4560,3927,12328,10112,112,79,12440,258400,1,0,4,0.8202465931213497,0.047708978328173376,24.56140350877193,0.006000041961669922
019f19e3-4414-77b0-b945-f2956f710db0,0.142.2,019f19e3-446c-7b13-94ba-7cf5357063d3,gpt-5.5,low,1782845752,1782845756,4145,1927,16254,12160,125,70,16379,258400,1,0,4,0.7481235388212132,0.06290247678018576,30.15681544028951,0.009999990463256836
019f19e3-57de-7ed3-beb9-1204c829cd05,0.142.2,019f19e3-584c-7600-9d78-c18b86ecc66a,gpt-5.5,low,1782845757,1782845762,4722,2212,16352,12160,173,69,16525,258400,1,0,5,0.7436399217221135,0.06328173374613003,36.63701821262177,0.009000062942504883
019f19e3-6e3c-7d91-b568-0c6d7265bda9,0.142.2,019f19e3-6e97-7c21-bc25-023a9d198a70,gpt-5.5,low,1782845763,1782845766,3461,2032,12320,12160,113,42,12433,258400,1,0,3,0.987012987012987,0.04767801857585139,32.64952325917365,0.003000020980834961
019f19e3-7e53-7aa1-97ee-50b69769d8a4,0.142.2,019f19e3-7e9e-7700-82f1-8ad86813587c,gpt-5.5,low,1782845767,1782845775,8384,4020,16253,12160,200,111,16453,258400,1,0,8,0.7481695686950102,0.06289860681114551,23.85496183206107,0.0
019f19e3-a22d-7710-98c6-670225f22076,0.142.2,019f19e3-a280-7f71-a936-27acc7c3b98f,gpt-5.5,low,1782845776,1782845783,7186,3000,16480,12160,169,110,16649,258400,1,0,7,0.7378640776699029,0.06377708978328174,23.51795157250209,0.009000062942504883
