session_id,cli_version,turn_id,model,effort,started_at,completed_at,duration_ms,time_to_first_token_ms,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,model_context_window,n_api_calls,n_tool_calls,wall_clock_s,cache_hit_rate,context_fill,output_tokens_per_s,mean_api_gap_s
019f1e28-e8aa-76a1-8320-545e5f277c6e,0.142.2,019f1e28-ea23-7ed3-a2ce-6897bd8482b6,gpt-5.5,low,1782917425,1782917429,3758,3390,13699,3456,50,17,13749,258400,1,0,4,0.25228118840791297,0.05301470588235294,13.304949441192123,0.007999897003173828
019f1e28-fb8c-79e3-86ed-401bf7c53735,0.142.2,019f1e28-fbec-7f30-b50b-89e66f2c8352,gpt-5.5,low,1782917430,1782917435,4896,4423,13810,3456,209,158,14019,258400,1,0,5,0.2502534395365677,0.05344427244582043,42.68790849673203,0.006999969482421875
019f1e29-1320-7892-8a5c-86571fc62913,0.142.2,019f1e29-13b8-7340-abbc-b4e04884bcad,gpt-5.5,low,1782917436,1782917439,3403,2805,14083,10112,126,70,14209,258400,1,0,3,0.7180288290847121,0.05450077399380805,37.02615339406406,0.007999897003173828
019f1e29-2423-7540-b9af-eb44430c0b45,0.142.2,019f1e29-2482-7770-a9e3-864aed41f319,gpt-5.5,low,1782917440,1782917443,2702,2286,13510,10112,81,45,13591,258400,1,0,3,0.7484826054774242,0.05228328173374613,29.97779422649889,0.0
019f1e29-3220-7810-83e3-4b4073230d24,0.142.2,019f1e29-3280-7872-bc37-420ddbef0b81,gpt-5.5,low,1782917444,1782917449,5534,4756,13887,3456,123,83,14010,258400,1,0,5,0.24886584575502269,0.053742260061919504,22.226237802674376,0.0
019f1e29-4bc6-70e0-9718-e27fd8699192,0.142.2,019f1e29-4c28-71b3-b186-36e2c23e5a1e,gpt-5.5,low,1782917450,1782917454,3927,3680,13882,3456,91,54,13973,258400,1,0,4,0.24895548191903183,0.05372291021671827,23.1729055258467,0.007999897003173828
019f1e29-5fd4-7e13-962e-5172aacdb171,0.142.2,019f1e29-6039-7d43-b5b5-3b3554e5a63c,gpt-5.5,low,1782917455,1782917458,2694,2237,14380,10112,95,56,14475,258400,1,0,3,0.7031988873435326,0.05565015479876161,35.26354862657758,0.006999969482421875
019f1e29-6d5c-7b80-b7d2-4ef870e3787b,0.142.2,019f1e29-6db9-7b20-9197-c7e13693c319,gpt-5.5,low,1782917459,1782917462,3411,2893,15524,10112,124,81,15648,258400,1,0,3,0.6513785106931204,0.060077399380804954,36.352975666959836,0.006999969482421875
019f1e29-7dbe-79c1-9eb4-be304852b122,0.142.2,019f1e29-7e23-7820-83b1-65f8b3480110,gpt-5.5,low,1782917463,1782917465,2258,1858,13839,10112,70,35,13909,258400,1,0,2,0.7306886335717898,0.05355650154798761,31.000885739592558,0.0070002079010009766
019f1e29-8974-7c51-b93c-f8058a44dfa9,0.142.2,019f1e29-89cf-7ae0-9fc8-6448e63f2a5c,gpt-5.5,low,1782917466,1782917468,2247,1879,13880,3456,64,32,13944,258400,1,0,2,0.2489913544668588,0.05371517027863777,28.482421005785493,0.0
019f1e29-9640-71e3-9839-14d4b4a0cc36,0.142.2,019f1e29-96bd-7233-91da-46b48097c2a2,gpt-5.5,low,1782917469,1782917472,2935,2520,14238,10112,75,33,14313,258400,1,0,3,0.710212108442197,0.05510061919504644,25.55366269165247,0.006000041961669922
019f1e29-a539-7b43-9add-aac01deae88e,0.142.2,019f1e29-a590-7df2-913f-4ef429029b87,gpt-5.5,low,1782917473,1782917476,2539,2126,13777,3456,75,39,13852,258400,1,0,3,0.25085287072657325,0.05331656346749226,29.539188656951556,0.011999845504760742
019f1e29-b1ec-73b1-995f-91b5253d938e,0.142.2,019f1e29-b254-7202-a624-f15f225bc540,gpt-5.5,low,1782917476,1782917480,3839,3253,14039,10112,197,127,14236,258400,1,0,4,0.720279222166821,0.05433049535603715,51.31544673091951,0.007999897003173828
019f1e29-c3f8-73f3-9544-5ce1d78dd858,0.142.2,019f1e29-c45a-75e0-94ce-23521cd2eed3,gpt-5.5,low,1782917481,1782917488,7400,6856,15290,10112,297,256,15587,258400,1,0,7,0.6613472858077175,0.059171826625386996,40.13513513513513,0.01900005340576172
019f1e29-e433-72b0-b041-8466b095724b,0.142.2,019f1e29-e494-7fc3-8bdb-e74c8163be82,gpt-5.5,low,1782917489,1782917494,4265,3647,13468,10112,117,56,13585,258400,1,0,5,0.7508167508167508,0.05212074303405573,27.43259085580305,0.007999897003173828
019f1e29-fad2-7233-b635-0214bf2d773f,0.142.2,019f1e29-fb66-7643-affa-ffc2dfb9afb6,gpt-5.5,low,1782917495,1782917500,4840,4194,14162,3456,166,129,14328,258400,1,0,5,0.2440333286259003,0.054806501547987614,34.29752066115702,0.012000083923339844
019f1e2a-1454-7722-b494-8d607136e9cf,0.142.2,019f1e2a-14df-7140-82bf-a5e373f89503,gpt-5.5,low,1782917502,1782917504,2677,2167,13830,10112,61,21,13891,258400,1,0,2,0.7311641359363702,0.053521671826625386,22.786701531565186,0.006999969482421875
019f1e2a-24aa-70d1-a36c-d236004b4379,0.142.2,019f1e2a-2536-7fb1-9539-96a4d4ddff83,gpt-5.5,low,1782917506,1782917509,2889,2479,13861,10112,93,57,13954,258400,1,0,3,0.7295288940191905,0.053641640866873064,32.191069574247145,0.007999897003173828
019f1e2a-3524-7533-95e4-44baf36126e7,0.142.2,019f1e2a-35bb-7081-ae94-b33b910f1b30,gpt-5.5,low,1782917510,1782917513,3261,2777,14213,10112,75,33,14288,258400,1,0,3,0.7114613382114965,0.05500386996904025,22.999080036798528,0.006999969482421875
019f1e2a-467a-7762-b662-2721f227ab46,0.142.2,019f1e2a-46e6-7e53-b78d-e5458ebf6ee8,gpt-5.5,low,1782917514,1782917519,4717,4243,13490,10112,186,135,13676,258400,1,0,5,0.7495922905856189,0.05220588235294118,39.43184227263091,0.018000125885009766
019f1e2a-5c56-7980-8ac1-d58c0b637fea,0.142.2,019f1e2a-5cc7-7331-8690-d7d82ff7d42f,gpt-5.5,low,1782917520,1782917530,9424,7431,13760,10112,149,104,13909,258400,1,0,10,0.7348837209302326,0.05325077399380805,15.810696095076402,0.004999876022338867
019f1e2a-84c3-77a2-91be-ecbd36871c6b,0.142.2,019f1e2a-8531-7443-b19a-6cb6d96c62c9,gpt-5.5,low,1782917530,1782917535,4637,4186,14066,3968,232,192,14298,258400,1,0,5,0.28209867766244845,0.05443498452012384,50.032348501186114,0.00800013542175293
019f1e2a-9d27-7171-ae6a-d94f6ecbfb3d,0.142.2,019f1e2a-9d8b-74f0-9a5d-04677762b116,gpt-5.5,low,1782917537,1782917540,3538,2680,14299,10112,113,77,14412,258400,1,0,3,0.7071823204419889,0.05533668730650155,31.938948558507633,0.003000020980834961
019f1e2a-aecb-7fe0-932c-822ae01e240e,0.142.2,019f1e2a-af31-7122-9350-5f7531a4d0dc,gpt-5.5,low,1782917541,1782917549,7549,7007,13567,10112,400,346,13967,258400,1,0,8,0.7453379523844623,0.052503869969040246,52.98715061597562,0.014999866485595703
019f1e2a-cffd-74c3-9f7e-35f5beecc05e,0.142.2,019f1e2a-d07b-7803-9be5-fc4af22c37aa,gpt-5.5,low,1782917550,1782917555,5027,4522,13752,10112,129,86,13881,258400,1,0,5,0.7353112274578243,0.05321981424148607,25.661428287248857,0.006999969482421875
019f1e2a-e82c-7d82-a57c-c6e2606baa19,0.142.2,019f1e2a-e885-7220-b4c2-e817cb69e098,gpt-5.5,low,1782917556,1782917559,2864,2401,13661,10112,83,41,13744,258400,1,0,3,0.7402093550984554,0.052867647058823526,28.980446927374302,0.009999990463256836
019f1e2a-f6f7-7692-8d1a-1c4608107a27,0.142.2,019f1e2a-f754-7730-b24a-da6fccc9d3eb,gpt-5.5,low,1782917560,1782917564,3930,3300,14340,3456,148,105,14488,258400,1,0,4,0.2410041841004184,0.0554953560371517,37.659033078880405,0.006000041961669922
019f1e2b-0c55-70b3-8125-97c147d711ac,0.142.2,019f1e2b-0cb3-7c70-95e3-cf7a8615bc05,gpt-5.5,low,1782917565,1782917568,2458,2111,12855,3456,81,45,12936,258400,1,0,3,0.26884480746791134,0.0497484520123839,32.95362082994304,0.003999948501586914
019f1e2b-1983-7412-a907-11617b4cf53f,0.142.2,019f1e2b-19e5-7d52-a597-5c43d99e51b8,gpt-5.5,low,1782917568,1782917572,3132,2684,13750,10112,100,65,13850,258400,1,0,4,0.7354181818181819,0.05321207430340557,31.92848020434227,0.0009999275207519531
019f1e2b-29dd-77c1-8fcc-b2102786e7e2,0.142.2,019f1e2b-2a4a-7d02-8416-da4933ccd05b,gpt-5.5,low,1782917573,1782917575,2761,2276,13727,10112,64,22,13791,258400,1,0,2,0.7366503970277555,0.05312306501547988,23.180007243752264,0.006999969482421875
