session_id,cli_version,turn_id,model,effort,started_at,completed_at,duration_ms,time_to_first_token_ms,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,model_context_window,n_api_calls,n_tool_calls,wall_clock_s,cache_hit_rate,context_fill,output_tokens_per_s,mean_api_gap_s
019f044e-d4bb-7431-ba81-aa6b4d49249d,0.142.2,019f044e-d552-7401-8e10-25b490536c34,gpt-5.5,medium,1782483703,1782483708,5036,4507,13699,10112,56,25,13755,258400,1,0,5,0.7381560697861158,0.05301470588235294,11.119936457505958,0.004999876022338867
019f044f-6eef-7de3-b86f-024089288446,0.142.2,019f044f-6f66-7210-840e-816128ac7f9e,gpt-5.5,medium,1782483742,1782483747,6121,5648,13796,10112,337,286,14133,258400,1,0,5,0.732966077123804,0.053390092879256966,55.05636333932364,0.012000083923339844
019f044f-8257-7030-951f-4216995d13cd,0.142.2,019f044f-82cb-7a33-b64a-2599d6f964df,gpt-5.5,medium,1782483747,1782483752,5366,4800,14069,10112,209,149,14278,258400,1,0,5,0.7187433364133912,0.05444659442724458,38.94893775624301,0.006999969482421875
019f044f-98f5-7bd0-bd5f-659fbb044b88,0.142.2,019f044f-9970-7400-8541-870680c827d1,gpt-5.5,medium,1782483753,1782483757,3941,3408,13496,10112,98,62,13594,258400,1,0,4,0.7492590397154713,0.05222910216718266,24.866785079928952,0.003000020980834961
019f044f-aa23-7242-9e35-4cec4cda61e9,0.142.2,019f044f-aa92-7220-8b40-8c2d8f238de0,gpt-5.5,medium,1782483757,1782483760,3074,2688,13873,10112,130,90,14003,258400,1,0,3,0.7288978591508686,0.05368808049535604,42.29017566688354,0.009999990463256836
019f044f-b7c7-7692-989e-8e102186de9a,0.142.2,019f044f-b856-73f1-bd3a-8604c9f5c25e,gpt-5.5,medium,1782483761,1782483766,4870,4513,13868,10112,139,102,14007,258400,1,0,5,0.7291606576290741,0.053668730650154796,28.542094455852155,0.006999969482421875
019f044f-ccaa-76b2-a8e2-9f5288d63862,0.142.2,019f044f-cd14-7403-b54f-2798f6b2500f,gpt-5.5,medium,1782483766,1782483770,3926,3544,14366,10112,119,80,14485,258400,1,0,4,0.7038841709592093,0.05559597523219814,30.31074885379521,0.007999897003173828
019f044f-ddcf-76b0-8b50-df173b603379,0.142.2,019f044f-de42-7562-81b7-df9ef67ce198,gpt-5.5,medium,1782483770,1782483774,4139,3670,15510,10112,142,99,15652,258400,1,0,4,0.651966473243069,0.06002321981424149,34.307803817347185,0.009999990463256836
019f044f-ecff-7652-976a-57e418500e2c,0.142.2,019f044f-ed79-71e3-86e4-61e718a9ae46,gpt-5.5,medium,1782483774,1782483777,2389,1979,13825,10112,81,46,13906,258400,1,0,3,0.7314285714285714,0.05350232198142415,33.90539974884889,0.010999917984008789
019f044f-f819-71b0-9002-fd7127ba2cda,0.142.2,019f044f-f88c-7ab0-8a51-bd8fda1ae549,gpt-5.5,medium,1782483777,1782483779,1967,1697,13866,10112,70,38,13936,258400,1,0,2,0.729265830087985,0.0536609907120743,35.587188612099645,0.003000020980834961
019f0450-0187-74f0-a874-032ea3358542,0.142.2,019f0450-0206-71d3-abc5-fd9d00c93424,gpt-5.5,medium,1782483780,1782483786,5966,5527,14224,10112,205,158,14429,258400,1,0,6,0.7109111361079865,0.05504643962848297,34.36138115990613,0.006000041961669922
019f0450-1aad-7760-8994-ba2436a688a8,0.142.2,019f0450-1b28-7e93-b0ab-717bb021a9b7,gpt-5.5,medium,1782483786,1782483788,3832,3349,13763,10112,171,127,13934,258400,1,0,2,0.734723534113202,0.05326238390092879,44.62421711899791,0.004999876022338867
019f0450-24c0-7fe2-af2d-b4005bce4d8e,0.142.2,019f0450-2546-7043-a4f7-a94abb6ed030,gpt-5.5,medium,1782483789,1782483793,4161,3562,14025,10112,246,176,14271,258400,1,0,4,0.7209982174688057,0.054276315789473686,59.12040374909878,0.015000104904174805
019f0450-36d7-7da1-a597-c6adcc85fd12,0.142.2,019f0450-375e-7092-b638-fecfc02fad1c,gpt-5.5,medium,1782483793,1782483802,9948,9464,15276,10112,560,516,15836,258400,1,0,9,0.6619533909400367,0.05911764705882353,56.29272215520707,0.006999969482421875
019f0450-5c69-75a2-a7d7-8653e63a2fd1,0.142.2,019f0450-5ce5-7443-92c1-9ae61239a432,gpt-5.5,medium,1782483803,1782483808,5056,4504,13454,10624,190,129,13644,258400,1,0,5,0.7896536346068084,0.05206656346749226,37.57911392405063,0.004999876022338867
019f0450-71e8-7182-8814-7bbfe2c6f446,0.142.2,019f0450-727f-7462-b3a3-d688c12aa454,gpt-5.5,medium,1782483808,1782483814,5700,5281,14148,10112,187,148,14335,258400,1,0,6,0.7147299971727452,0.05475232198142415,32.80701754385965,0.0
019f0450-8a25-77a3-9ba4-49c706963406,0.142.2,019f0450-8a9a-7551-a106-e65b475e7768,gpt-5.5,medium,1782483815,1782483818,3605,3108,13816,10112,105,65,13921,258400,1,0,3,0.7319050376375217,0.05346749226006192,29.12621359223301,0.01399993896484375
019f0450-9a0f-7df1-9053-25be3fd6b039,0.142.2,019f0450-9a8a-7c71-8d77-ae06a43ec758,gpt-5.5,medium,1782483819,1782483821,2535,2196,13847,10112,107,71,13954,258400,1,0,2,0.7302664837148841,0.0535874613003096,42.209072978303745,0.008999824523925781
019f0450-a5bf-7622-866c-d7d88be59821,0.142.2,019f0450-a63c-7392-976b-36651e8da2ab,gpt-5.5,medium,1782483822,1782483826,4752,4239,14199,10112,179,137,14378,258400,1,0,4,0.7121628283681949,0.054949690402476783,37.66835016835017,0.006000041961669922
019f0450-ba0c-71f1-bd80-bdd52eb7ea1c,0.142.2,019f0450-ba8e-7ad2-8580-0960da3869b2,gpt-5.5,medium,1782483827,1782483831,5511,5082,13476,10112,311,260,13787,258400,1,0,4,0.7503710299792223,0.05215170278637771,56.4325893667211,0.0009999275207519531
019f0450-cb2b-7a82-9a30-60f43f9a7166,0.142.2,019f0450-cb95-7483-80cd-a3e53d39e681,gpt-5.5,medium,1782483831,1782483841,10216,9637,13746,10112,433,388,14179,258400,1,0,10,0.735632183908046,0.05319659442724458,42.38449490994519,0.00800013542175293
019f0450-f4f5-7c21-b221-bc7de7a3853e,0.142.2,019f0450-f56a-7f82-a94f-cc5ee8da9fee,gpt-5.5,medium,1782483842,1782483849,7416,6851,14052,10112,326,286,14378,258400,1,0,7,0.7196128664958725,0.054380804953560374,43.95900755124056,0.007999897003173828
019f0451-13a0-7a62-81f6-63d9d38e28f4,0.142.2,019f0451-1420-73b1-8a38-0063f3bcacac,gpt-5.5,medium,1782483850,1782483854,4557,4140,14285,10112,132,96,14417,258400,1,0,4,0.7078753937696884,0.05528250773993808,28.966425279789334,0.009999990463256836
