session_id,cli_version,turn_id,model,effort,started_at,completed_at,duration_ms,time_to_first_token_ms,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,model_context_window,n_api_calls,n_tool_calls,wall_clock_s,cache_hit_rate,context_fill,output_tokens_per_s,mean_api_gap_s
019eff9a-c8d4-7572-ae1f-0480511655d6,0.142.2,019eff9a-c950-7a20-aad2-b0dd6ea4f176,gpt-5.5,medium,1782404794,1782404816,21387,1631,117043,100608,1423,173,118466,258400,6,10,22,0.8595815213212238,0.08845588235294118,66.5357460139337,0.001666704813639323
019eff9b-2007-7190-9d89-6af85912a251,0.142.2,019eff9b-2080-7412-8d66-069543fe30e9,gpt-5.5,medium,1782404817,1782404867,50655,1113,281830,253312,3270,1325,285100,258400,9,13,50,0.8988113401696058,0.14189628482972136,64.55433816997335,0.0013333426581488715
019eff9b-e9b7-7562-bb9e-a3f34bac3d62,0.142.2,019eff9b-ea37-7890-9d1d-22b0ce4d0cef,gpt-5.5,medium,1782404868,1782404893,24677,1161,119195,106240,1724,316,120919,258400,6,10,25,0.8913125550568396,0.0923297213622291,69.86262511650524,0.0023333231608072915
019eff9c-4d67-75e2-8183-be7afd7cd30f,0.142.2,019eff9c-4df1-73f0-8e28-379d0c8927c3,gpt-5.5,medium,1782404894,1782404926,32226,1453,212152,178816,2114,390,214266,258400,7,14,32,0.8428673781062634,0.13731037151702785,65.59920561037671,0.0011428424290248326
019eff9c-cfd5-7221-97a1-17f559e471cd,0.142.2,019eff9c-d041-7a91-b0bf-efea3409756b,gpt-5.5,medium,1782404927,1782404942,15111,1396,69420,65408,824,0,70244,258400,5,7,15,0.9422068568135984,0.05804953560371517,54.529812719211165,0.0015999794006347657
019eff9d-0f3f-7f92-a3ca-0dfd64d8e52d,0.142.2,019eff9d-0fbe-77a1-b37c-64245f449894,gpt-5.5,medium,1782404943,1782405002,58294,1844,190964,170368,4183,1787,195147,258400,9,15,59,0.8921472109926478,0.10126934984520124,71.75695611898308,0.0021110905541314017
019eff9d-f6c2-7eb0-b20b-1507d5f75395,0.142.2,019eff9d-f73f-7cb2-81e6-ed2ae9ff467c,gpt-5.5,medium,1782405003,1782405057,54510,999,246361,232192,3026,829,249387,258400,14,22,54,0.9424868384200421,0.08310758513931889,55.51274995413686,0.0004285573959350586
019eff9e-cfc8-78b3-84fa-5787d29c5859,0.142.2,019eff9e-d044-70f2-94c7-204b6e7cf14f,gpt-5.5,medium,1782405058,1782405100,41781,1543,133227,113664,2485,940,135712,258400,8,12,42,0.8531603954153437,0.07502708978328174,59.476795672674186,0.0016250014305114746
019eff9f-7656-7460-b54d-943625432f9f,0.142.2,019eff9f-76c6-7603-a279-e4a1427a4508,gpt-5.5,medium,1782405101,1782405133,32132,1017,92060,77056,1532,472,93592,258400,6,8,32,0.8370193352161633,0.06638931888544891,47.678326901531186,0.0021666685740152993
019eff9f-f79d-7971-a6ea-c9baaf2ad735,0.142.2,019eff9f-f835-7092-8efc-74f031c208da,gpt-5.5,medium,1782405134,1782405259,124994,2126,320871,262016,9488,4070,330359,258400,13,26,125,0.8165773784480368,0.13064241486068112,75.90764356689121,0.0020000017606295072
019effa1-e2e2-7db0-9285-c109ed87517d,0.142.2,019effa1-e35e-7b40-87ea-9585f3dfdf78,gpt-5.5,medium,1782405260,1782405281,21399,1709,87698,80128,1030,59,88728,258400,6,8,21,0.9136810417569385,0.06157120743034056,48.13309033132389,0.0018333594004313152
019effa2-3964-72d1-b499-2ee3e2556274,0.142.2,019effa2-39bd-74a1-9f12-6289ccf72652,gpt-5.5,medium,1782405282,1782405312,30080,1209,152822,136704,1606,308,154428,258400,8,11,30,0.8945308921490361,0.08376160990712074,53.390957446808514,0.0012500584125518799
019effa2-b230-7690-b8e7-e6ad477f7329,0.142.2,019effa2-b2a3-7963-ab52-5275631b7be5,gpt-5.5,medium,1782405313,1782405332,18936,1624,84208,76544,960,44,85168,258400,6,8,19,0.9089872696180885,0.06108359133126935,50.69708491761724,0.001999974250793457
