instance,gib_compressed
astropy__astropy-12907,1.02
astropy__astropy-7746,1.11
django__django-11019,1.19
django__django-11039,1.19
django__django-11564,1.19
django__django-11620,1.19
django__django-11815,1.03
django__django-12184,1.19
django__django-12286,1.19
django__django-12308,1.04
django__django-12453,1.19
django__django-12497,1.19
django__django-12747,1.19
django__django-13658,1.04
django__django-13660,1.19
django__django-14238,1.07
django__django-14608,1.07
django__django-14672,1.07
django__django-14855,1.07
django__django-14997,1.23
django__django-15320,1.23
django__django-15400,1.23
django__django-15819,1.23
django__django-16041,1.23
django__django-16255,1.09
django__django-16379,1.23
django__django-16595,1.12
django__django-17051,1.26
django__django-17087,1.12
matplotlib__matplotlib-18869,2.13
matplotlib__matplotlib-23476,3.01
matplotlib__matplotlib-23563,3.27
matplotlib__matplotlib-23913,3.32
matplotlib__matplotlib-24970,3.08
matplotlib__matplotlib-25433,3.33
mwaskom__seaborn-3407,1.15
pallets__flask-4992,1.00
psf__requests-2148,0.89
psf__requests-2317,0.91
pydata__xarray-4094,1.86
pylint-dev__pylint-5859,0.97
pylint-dev__pylint-7080,0.97
pytest-dev__pytest-11148,0.91
pytest-dev__pytest-5103,0.91
pytest-dev__pytest-5413,0.91
pytest-dev__pytest-7432,0.92
scikit-learn__scikit-learn-10508,1.42
scikit-learn__scikit-learn-13439,1.35
scikit-learn__scikit-learn-13584,1.43
scikit-learn__scikit-learn-14092,1.44
scikit-learn__scikit-learn-15512,1.44
scikit-learn__scikit-learn-25500,1.74
sphinx-doc__sphinx-10451,1.02
sphinx-doc__sphinx-7686,1.02
sphinx-doc__sphinx-8273,1.02
sphinx-doc__sphinx-8721,0.98
sympy__sympy-12419,0.95
sympy__sympy-13031,0.95
sympy__sympy-13146,1.06
sympy__sympy-13437,1.06
sympy__sympy-14396,1.06
sympy__sympy-14774,1.06
sympy__sympy-15346,1.06
sympy__sympy-16792,0.96
sympy__sympy-17022,1.06
sympy__sympy-17655,0.97
sympy__sympy-18621,1.06
sympy__sympy-18835,1.06
sympy__sympy-20154,0.97
sympy__sympy-22005,1.07
sympy__sympy-22714,0.98
sympy__sympy-23117,1.07
sympy__sympy-23191,1.07
sympy__sympy-24102,1.07
sympy__sympy-24213,0.99
